,Unnamed: 0,country_code,company,name,postcode,city,street,state,block,commissioned_original,commissioned,retrofit,shutdown,status,fuel,technology,type,eeg,chp,capacity,capacity_uba,chp_capacity_uba,merge_comment,efficiency_data,efficiency_estimate,efficiency_source,network_node,voltage,network_operator,name_uba,lat,lon,comment
87,BNA0157,DE,E.ON Kernkraft GmbH,Brokdorf,25576,Brokdorf,,Schleswig-Holstein,KBR,1986,1986.0,,,operating,uranium,ST,,no,no,1410.0,1480.0,,List matching type: Single UBA power plant assigned to single BNetzA power plant,,0.33,,Brokdorf,380,TenneT TSO GmbH ,Brokdorf (KBR),53.851095,9.345944,
88,BNA0161,DE,Vattenfall Europe Generation AG,Brunsbüttel,25541,Brunsbüttel,Otto Hahn Str. 76,Schleswig-Holstein,GT A,1973,1973.0,,,operating,oil,GT,,no,no,63.5,64.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3097999999999992,,Brunsbüttel,380,50 Hertz Transmission GmbH,Brunsbüttel A bis D,53.89251924,9.201135635,
89,BNA0162,DE,Vattenfall Europe Generation AG,Brunsbüttel,25541,Brunsbüttel,Otto Hahn Str. 76,Schleswig-Holstein,GT B,1973,1973.0,,,operating,oil,GT,,no,no,63.5,64.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3097999999999992,,Brunsbüttel,380,50 Hertz Transmission GmbH,Brunsbüttel A bis D,53.89251924,9.201135635,
90,BNA0163,DE,Vattenfall Europe Generation AG,Brunsbüttel,25541,Brunsbüttel,Otto Hahn Str. 76,Schleswig-Holstein,GT C,1973,1973.0,,,operating,oil,GT,,no,no,63.5,64.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3097999999999992,,Brunsbüttel,380,50 Hertz Transmission GmbH,Brunsbüttel A bis D,53.89251924,9.201135635,
91,BNA0164,DE,Vattenfall Europe Generation AG,Brunsbüttel,25541,Brunsbüttel,Otto Hahn Str. 76,Schleswig-Holstein,GT D,1973,1973.0,,,operating,oil,GT,,no,no,63.5,64.0,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3097999999999992,,Brunsbüttel,380,50 Hertz Transmission GmbH,Brunsbüttel A bis D,53.89251924,9.201135635,
160,BNA0269,DE,Stadtwerke Flensburg GmbH,HKW Flensburg,24939,Flensburg,,Schleswig-Holstein,Block 5,1974,1974.0,,2012.0,shutdown,oil,ST,,no,yes,30.0,,,,,0.3564000000000003,,Stadtwerke Flensburg GmbH,60,Stadtwerke Flensburg GmbH,,54.80506,9.43238,
161,BNA0270,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 11,1992,1992.0,,,operating,coal,ST,CHP,no,yes,27.0,30.12244897959184,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.40500000000000025,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
162,BNA0271,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 10,1988,1988.0,,,operating,coal,ST,CHP,no,yes,29.0,32.35374149659864,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3949999999999996,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
163,BNA0272,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 9,1985,1985.0,,,operating,coal,ST,CHP,no,yes,33.0,36.81632653061224,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3875000000000002,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
164,BNA0273,DE,Stadtwerke Flensburg GmbH,Heizkraftwerk FL,24939,Flensburg,,Schleswig-Holstein,Block 8,1982,1982.0,,,operating,coal,ST,CHP,no,yes,35.0,39.047619047619044,,List matching type: UBA capacity distributed proportionally to multiple BNetzA power plants,,0.3799999999999999,,SW Flensburg GmbH,60,Stadtwerke Flensburg GmbH ,Flensburg K07 bis K11,54.80495,9.43244,
