name;type;geom;hubs;energy_sector;installed_power;variable_costs;fuel_type;energy_amount;electrical_efficiency;themal_efficiency;installed_energy;timeseries
FL_heat;demand;0 0;1001_heat;heat;;;;588.08;;;;heat_sh
KI_heat;demand;0 0;1002_heat;heat;;;;1478.45;;;;heat_sh
HL_heat;demand;0 0;1003_heat;heat;;;;1360.5;;;;heat_sh
NMS_heat;demand;1 0;1004_heat;heat;;;;550.58;;;;heat_sh
HEI_heat;demand;1 0;1051_heat;heat;;;;1212.13;;;;heat_sh
RZ_heat;demand;1 0;1053_heat;heat;;;;1439.41;;;;heat_sh
NF_heat;demand;2 0;1054_heat;heat;;;;1501.3;;;;heat_sh
OH_heat;demand;2 0;1055_heat;heat;;;;1674.16;;;;heat_sh
PI_heat;demand;2 0;1056_heat;heat;;;;2168.65;;;;heat_sh
PLÖ_heat;demand;3 0;1057_heat;heat;;;;1036.35;;;;heat_sh
RD_heat;demand;3 0;1058_heat;heat;;;;2204.5;;;;heat_sh
SL_heat;demand;3 0;1059_heat;heat;;;;1660.11;;;;heat_sh
SE_heat;demand;4 0;1060_heat;heat;;;;1946.16;;;;heat_sh
IZ_heat;demand;4 0;1061_heat;heat;;;;1067.15;;;;heat_sh
OD_heat;demand;4 0;1062_heat;heat;;;;1752.78;;;;heat_sh
