name;type;geom;energy_sector
1001_heat;hub_relation;0 0,0 0;heat
1002_heat;hub_relation;0 0,0 0;heat
1003_heat;hub_relation;1 0,0 0;heat
1004_heat;hub_relation;1 0,0 0;heat
1051_heat;hub_relation;2 0,0 0;heat
1053_heat;hub_relation;2 0,0 0;heat
1054_heat;hub_relation;3 0,0 0;heat
1055_heat;hub_relation;3 0,0 0;heat
1056_heat;hub_relation;4 0,0 0;heat
1057_heat;hub_relation;4 0,0 0;heat
1058_heat;hub_relation;5 0,0 0;heat
1059_heat;hub_relation;5 0,0 0;heat
1060_heat;hub_relation;6 0,0 0;heat
1061_heat;hub_relation;6 0,0 0;heat
1062_heat;hub_relation;7 0,0 0;heat
